organisation,"portée géographie, anglais","portée géographie, français","secteur, anglais","secteur, français",code postale,ville,code de la province,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français","nom de la division de recensement, anglais","nom de la division de recensement, français",nom de la subdivision de recensement,nom de la région métropolitaine de recensement,type de classification des secteurs statistiques (CSS),code de classification des secteurs statistiques (CSS),latitude,longitude,
Conseil de la cooperation de l'Ontario,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,K1K2Z8,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.447541,-75.650337,OTTAWA
Conseil des arts de Hearst,01 regional,01 régional,02 culture,02 culture,P0L1N0,Hearst,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Hearst,,6,998,49.688583,-83.651237,HEARST
Conseil des arts de Nipissing-Ouest,01 regional,01 régional,03 education,03 éducation,P2B2Z7,West Nipissing / Nipissing Ouest M,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Nipissing,Nipissing,West Nipissing / Nipissing Ouest,,5,997,46.371936,-79.92815,STURGEON FALLS
Conseil des arts de Par-en-Bas,01 regional,01 régional,02 culture,02 culture,B0W3M0,0,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Yarmouth,Yarmouth,Argyle,,6,998,43.765595,-65.910985,TUSKET
Conseil des organismes francophones de la région de Durham,01 regional,01 régional,01 community development,01 développement communautaire,L1H4G4,Oshawa,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Durham,Durham,Oshawa,Oshawa,1,532,43.895604,-78.86256,OSHAWA
Conseil Économique du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,E1C1W1,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.09103,-64.782254,MONCTON
Conseil Économique et Social d'Ottawa-Carleton,01 regional,01 régional,05 economy,05 économie,K1K0T4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.443077,-75.641359,OTTAWA
Conseil jeunesse francophone de la Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,V6J1S1,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.265568,-123.139694,VANCOUVER
Conseil jeunesse provincial,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Conseil jeunesse provincial de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,B2Y1G3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.666916,-63.566358,DARTMOUTH
Conseil provincial des sociétés culturelles,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,E1C2G7,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.094426,-64.786587,MONCTON
Contact Intercultural francophone de Sudbury,01 regional,01 régional,01 community development,01 développement communautaire,P3C1S8,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.492806,-80.993725,SUDBURY
Coopération Intégration Canada,01 regional,01 régional,01 community development,01 développement communautaire,K1N1H5,0,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431688,-75.681419,OTTAWA
Coopérative de Développement Régional - Acadie Ltée,01 regional,01 régional,05 economy,05 économie,E1W1A5,0,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Caraquet,,6,998,47.785777,-64.955236,CARAQUET
Coopérative des Montagnes Radio Communautaire,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,E3V3L1,Saint-Joseph,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,Madawaska,Madawaska,Saint-Joseph,Edmundston,3,335,47.501108,-68.300378,EDMUNDSTON
Coopérative des publications fransaskoises,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,S4N0P6,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.44729,-104.587181,REGINA
Coopérative du Regroupement des Organismes Francophones de Thunder Bay,01 regional,01 régional,01 community development,01 développement communautaire,P7B6C6,Thunder Bay,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,1,595,48.426494,-89.232298,THUNDER BAY
Coopérative Radio Chéticamp,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,B0E1H0,Chéticamp,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Cape Breton,Cape Breton,Inverness,Inverness,"Inverness, Subd. A",,6,998,46.630033,-61.012981,CHETICAMP
Coopérative Radio-Halifax-Metro,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,B3J1R2,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.650403,-63.581779,HALIFAX
Coopérative Radiophonique de Toronto,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,M5V3C1,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.646369,-79.396807,TORONTO
Coopérative Théâtre à Pic,01 regional,01 régional,02 culture,02 culture,T2G1A1,Calgary,48,Western Region,Région de l'Ouest,Alberta,Alberta,Calgary,Calgary,Division No. 6,Division No. 6,Calgary,Calgary,1,825,51.041501,-114.059909,CALGARY
Council for Anglophone Magdalen Islanders,01 regional,01 régional,01 community development,01 développement communautaire,G4T6B5,Grosse-Île,24,Quebec,Québec,Quebec,Québec,Gaspésie - Iles-de-la-Madeleine,Gaspésie - Iles-de-la-Madeleine,Les Îles-de-la-Madeleine,Les Îles-de-la-Madeleine,Grosse-Île,,7,999,47.594497,-61.477482,GROSSE-ILE
Créations In Vivo,01 regional,01 régional,02 culture,02 culture,K1L7Y9,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.440363,-75.670584,VANIER
Creative Connected Calgary 2012 Society,01 regional,01 régional,02 culture,02 culture,T2S2G4,0,48,Western Region,Région de l'Ouest,Alberta,Alberta,Calgary,Calgary,Division No. 6,Division No. 6,Calgary,Calgary,1,825,51.031158,-114.07498,CALGARY
CSC Étoile de l'Acadie,01 regional,01 régional,01 community development,01 développement communautaire,B1P7C6,Sydney,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Cape Breton,Cape Breton,Cape Breton,Cape Breton,Cape Breton,Cape Breton,3,225,46.143306,-60.183408,SYDNEY
Csc la Cité des Rocheuses,01 regional,01 régional,01 community development,01 développement communautaire,T3E6L1,Calgary,48,Western Region,Région de l'Ouest,Alberta,Alberta,Calgary,Calgary,Division No. 6,Division No. 6,Calgary,Calgary,1,825,51.013302,-114.120708,CALGARY
Éditions David,01 regional,01 régional,02 culture,02 culture,K1C5Y7,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.430312,-75.689175,OTTAWA
Éditions de la nouvelle plume,02 provincial / territorial,02 provincial / territorial,04 media and information technology,04 média et technologies de l'information,S4S7J5,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.415886,-104.603021,REGINA
Éditions du Vermillon,01 regional,01 régional,02 culture,02 culture,K1N5K4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431471,-75.691761,OTTAWA
English Community Organization of Lanaudière,01 regional,01 régional,01 community development,01 développement communautaire,J0K1S0,0,24,Quebec,Québec,Quebec,Québec,Lanaudière,Lanaudière,Matawinie,Matawinie,Rawdon,,4,996,46.054905,-73.772325,RAWDON
English Language Arts Network,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,H3B1A7,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.506873,-73.560653,MONTREAL
English Speaking Catholic Council,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,H3H2G8,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.49408,-73.582335,MONTREAL
Espace francophone,01 regional,01 régional,01 community development,01 développement communautaire,L6Y4G6,Brampton,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Peel,Peel,Brampton,Toronto,1,535,43.657101,-79.726579,BRAMPTON
Family Ties New Carlisle,01 regional,01 régional,03 education,03 éducation,G0C1Z0,New Carlisle,24,Quebec,Québec,Quebec,Québec,Gaspésie - Iles-de-la-Madeleine,Gaspésie - Iles-de-la-Madeleine,Bonaventure,Bonaventure,New Carlisle,,6,998,48.00644,-65.350718,NEW CARLISLE
FANE - Association du centre communautaire de la Rive-Sud,01 regional,01 régional,01 community development,01 développement communautaire,B4V8Z9,Cookville,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Lunenburg,Lunenburg,Lunenburg,,6,998,44.416822,-64.540547,COOKVILLE
FANE - Centre communautaire francophone de Truro,01 regional,01 régional,01 community development,01 développement communautaire,B2N4V3,Truro,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,North Shore,Côte-nord,Colchester,Colchester,Truro,Truro,3,215,45.363259,-63.261501,TRURO
Fédération acadienne de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,B2Y1G3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.666916,-63.566358,DARTMOUTH
Fédération culturelle acadienne de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,B2Y3Y3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.713488,-63.606326,DARTMOUTH
Fédération culturelle canadienne-française,04 national,04 national,02 culture,02 culture,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Fédération culturelle de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,C1A6M9,Charlottetown,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Queens,Queens,Charlottetown,Charlottetown,3,105,46.264753,-63.114613,CHARLOTTETOWN
Fédération de la jeunesse canadienne-française,04 national,04 national,01 community development,01 développement communautaire,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Fédération de la jeunesse franco-ontarienne,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,K1L7Y9,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.440363,-75.670584,VANIER
Fédération des aînées et aînés francophones du Canada,04 national,04 national,01 community development,01 développement communautaire,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Fédération des aînés franco-albertains,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Fédération des aînés franco-Manitobains,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,R2H2R1,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.895303,-97.109355,WINNIPEG
Fédération des aînés francophones de l'Ontario,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,K1J7S6,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.424715,-75.635013,GLOUCESTER
Fédération des aînés fransaskois,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,S7K2L7,Saskatoon,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.132114,-106.658417,SASKATOON
Fédération des communautés francophones et acadienne du Canada,04 national,04 national,01 community development,01 développement communautaire,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Fédération des femmes acadiennes de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,B2Y1G3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.666916,-63.566358,DARTMOUTH
Fédération des francophones de la Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,V6J1S1,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.265568,-123.139694,VANCOUVER
Fédération des francophones de Saskatoon,01 regional,01 régional,01 community development,01 développement communautaire,S7K2L7,Saskatoon,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.132114,-106.658417,SASKATOON
Fédération des francophones de Terre-Neuve et du Labrador,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,A1B4P5,Saint-Jean,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,Avalon Peninsula,Avalon Peninsula,Division No. 1,Division No. 1,St. John's,St. John's,1,001,47.590009,-52.736763,ST. JOHN'S
Fédération des jeunes francophones du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,E1C5N2,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.088103,-64.784777,MONCTON
Fédération des parents acadiens de la Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,B2Y1G3,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.666916,-63.566358,DARTMOUTH
Fédération des parents de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Fédération des parents francophones de Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,V6J1S1,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.265568,-123.139694,VANCOUVER
Fédération des parents francophones de l'Alberta,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Fédération des parents francophones de Terre-Neuve et du Labrador,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,A1B4P5,Saint-Jean,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,Avalon Peninsula,Avalon Peninsula,Division No. 1,Division No. 1,St. John's,St. John's,1,001,47.590009,-52.736763,ST. JOHN'S
Fédération du sport francophone de l'Alberta,02 provincial / territorial,02 provincial / territorial,08 sport and leisure,08 sports et loisirs,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Fédération franco-ténoise,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,X1A2N9,Yellowknife,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 6,Region 6,Yellowknife,Yellowknife,3,995,62.454613,-114.371025,YELLOWKNIFE
Fédération Nationale des Conseils Scolaires Francophones,04 national,04 national,03 education,03 éducation,K1K4X5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.428429,-75.648615,OTTAWA
Fédération provinciale des comités de parents du Manitoba,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,R2H0X9,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.879725,-97.12161,WINNIPEG
Fédération provinciale des fransaskoises,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,S7K2L7,Gravelbourg T,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.132114,-106.658417,SASKATOON
Fédération Régionale des Arts et du Patrimoine de la Baie Sainte-Marie,01 regional,01 régional,02 culture,02 culture,B0W2Z0,Saulnierville,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.247535,-66.130314,SAULNIERVILLE
Femmes Francophones de l'Ouest du Labrador,01 regional,01 régional,01 community development,01 développement communautaire,A2V1J2,Labrador City,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,West Coast - Northern Peninsula - Labrador,Côte-ouest - Northern Peninsula - Labrador,Division No. 10,Division No. 10,Labrador City,,6,998,52.939742,-66.912575,LABRADOR CITY
Festival Acadien de Clare,01 regional,01 régional,02 culture,02 culture,B0W1M0,Pointe-de-l'Église,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.327148,-66.104307,CHURCH POINT
Festival de Curd St-Albert,01 regional,01 régional,02 culture,02 culture,K0A3C0,Saint-Albert,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Prescott and Russell,Prescott and Russell,The Nation / La Nation,,4,996,45.270054,-75.125885,ST ALBERT
Festival du Voyageur,01 regional,01 régional,02 culture,02 culture,R2H0G4,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.892734,-97.119915,WINNIPEG
Festival franco-ontarien (2006),01 regional,01 régional,02 culture,02 culture,K1M1L5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.441935,-75.672274,OTTAWA
Fête Franco-Albertaine,01 regional,01 régional,02 culture,02 culture,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Film Zone,03 interprovincial,03 interprovincial,02 culture,02 culture,E1C4X5,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.092831,-64.777542,MONCTON
Fondation Canadienne pour Le Dialogue des Cultures,04 national,04 national,01 community development,01 développement communautaire,K1N5Z4,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Franco-Fête de la Communauté Urbaine de Toronto,01 regional,01 régional,02 culture,02 culture,M5V2Z1,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.638483,-79.392373,TORONTO
Franco-Jeunes de Terre-Neuve et du Labrador,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,A1B4P5,Saint-Jean,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,Avalon Peninsula,Avalon Peninsula,Division No. 1,Division No. 1,St. John's,St. John's,1,001,47.590009,-52.736763,ST. JOHN'S
Franco-Phare : Regroupement Francophone de Quinte,01 regional,01 régional,01 community development,01 développement communautaire,K8V3P3,Quinte West,35,Ontario,Ontario,Ontario,Ontario,Kingston - Pembroke,Kingston - Pembroke,Hastings,Hastings,Quinte West,Belleville,2,522,44.100499,-77.577333,TRENTON
Francophones de l'âge d'or de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Francophonie jeunesse de l'Alberta,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Francoqueer,01 regional,01 régional,01 community development,01 développement communautaire,M4J2Z4,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.680954,-79.343544,TORONTO
Front des Réalisateurs Indépendants du Canada,04 national,04 national,02 culture,02 culture,K1N5Z4,Moncton,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.431083,-75.680065,OTTAWA
Gala de la chanson de Caraquet,01 regional,01 régional,02 culture,02 culture,E1W1A5,Caraquet,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Caraquet,,6,998,47.784733,-64.962813,CARAQUET
Galerie du Nouvel-Ontario - centre d'artiste,01 regional,01 régional,02 culture,02 culture,P3E4N5,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.487707,-80.985594,SUDBURY
Gardérie Les Petits Nanooks Daycare,01 regional,01 régional,03 education,03 éducation,X0A0H0,Iqaluit,62,Prairies/Territories Region,Région des Prairies et du Nord,Nunavut,Nunavut,Nunavut,Nunavut,Baffin,Baffin,Iqaluit,,8,000,63.759501,-68.509273,IQALUIT
Gardérie Plein Soleil,01 regional,01 régional,03 education,03 éducation,X1A2N8,Yellowknife,61,Prairies/Territories Region,Région des Prairies et du Nord,Northwest Territories,Territoires du Nord-Ouest,Northwest Territories,Territoires du Nord-Ouest,Region 6,Region 6,Yellowknife,Yellowknife,3,995,62.454613,-114.371025,YELLOWKNIFE
Gaspesian British Heritage Village / Village Gaspésien de l'Héritage Britannique,01 regional,01 régional,02 culture,02 culture,G0C2B0,New Richmond,24,Quebec,Québec,Quebec,Québec,Gaspésie - Iles-de-la-Madeleine,Gaspésie - Iles-de-la-Madeleine,Bonaventure,Bonaventure,New Richmond,,6,998,48.192359,-65.896907,NEW RICHMOND
Geordie Productions,01 regional,01 régional,02 culture,02 culture,H2L4H2,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.521097,-73.573235,MONTREAL
Government of Manitoba Provincial Treasurer Responsible for French Services,02 provincial / territorial,02 provincial / territorial,09 governmental,09 gouvernemental,R3C0V8,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.885492,-97.142981,WINNIPEG
Heritage Lower St. Lawrence,01 regional,01 régional,01 community development,01 développement communautaire,G0J1S0,Métis-sur-Mer,24,Quebec,Québec,Quebec,Québec,Bas-Saint-Laurent,Bas-Saint-Laurent,La Mitis,La Mitis,Métis-sur-Mer,,6,998,48.674207,-67.971448,METIS-SUR-MER
Institut Guy-Lacombe de la famille,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
